"DATE","CUST ID","NAME","AMOUNT","ORDER NUMBER"
"10/01/2017","55","John Mcpherson","100.0","1000"
"10/01/2017","87","Andrea Henderson","100.0","1001"
"10/01/2017","61","Martha Mcgee","100.0","1002"
"10/01/2017","23","Heather Valencia","100.0","1003"
"10/01/2017","97","Amy Stark","100.0","1004"
"10/01/2017","39","Denise Tyler","100.0","1005"
"10/01/2017","13","Arthur Hill","100.0","1006"
"10/01/2017","69","Gerald Hawkins","100.0","1007"
"10/01/2017","70","Maria Fitzpatrick","100.0","1008"
"10/01/2017","67","Jennifer Harvey","100.0","1009"
"10/01/2017","15","Noah Gallagher","100.0","1010"
"10/02/2017","59","Rachel Williamson","100.0","1011"
"10/02/2017","10","Bryan Bennett","100.0","1012"
"10/02/2017","15","Noah Gallagher","100.0","1013"
"10/02/2017","13","Arthur Hill","100.0","1014"
"10/02/2017","58","Martha Jennings","100.0","1015"
"10/02/2017","97","Amy Stark","100.0","1016"
"10/02/2017","65","Alexis Conway","100.0","1017"
"10/02/2017","85","Denise Hayes","100.0","1018"
"10/02/2017","51","Christian Yang","100.0","1019"
"10/02/2017","67","Jennifer Harvey","100.0","1020"
"10/03/2017","67","Jennifer Harvey","100.0","1021"
"10/03/2017","67","Jennifer Harvey","100.0","1022"
"10/03/2017","61","Martha Mcgee","100.0","1023"
"10/03/2017","98","Nancy Morgan","100.0","1024"
"10/03/2017","0","Rebecca Bates","100.0","1025"
"10/03/2017","83","Nancy Conrad","100.0","1026"
"10/03/2017","72","Nicholas Valencia","100.0","1027"
"10/03/2017","33","Stephen Norton","100.0","1028"
"10/03/2017","3","Billy Hampton","100.0","1029"
"10/04/2017","27","Logan Hill","100.0","1030"
"10/04/2017","31","Benjamin Kaufman","100.0","1031"
"10/04/2017","44","Jeffrey Horne","100.0","1032"
"10/04/2017","16","Nicole Hines","100.0","1033"
"10/04/2017","9","Rose Brandt","100.0","1034"
"10/04/2017","14","Ethan David","100.0","1035"
"10/04/2017","5","Katherine Zimmerman","100.0","1036"
"10/04/2017","33","Stephen Norton","100.0","1037"
"10/04/2017","48","Rose Walter","100.0","1038"
"10/04/2017","34","Alexander Huerta","100.0","1039"
"10/04/2017","48","Rose Walter","100.0","1040"
"10/05/2017","22","Theresa Atkinson","100.0","1041"
"10/05/2017","56","Ryan Bernard","100.0","1042"
"10/05/2017","55","John Mcpherson","100.0","1043"
"10/05/2017","70","Maria Fitzpatrick","100.0","1044"
"10/05/2017","97","Amy Stark","100.0","1045"
"10/05/2017","71","Scott Strickland","100.0","1046"
"10/05/2017","60","Albert Richardson","100.0","1047"
"10/05/2017","81","Nancy Swanson","100.0","1048"
"10/05/2017","51","Christian Yang","100.0","1049"
"10/05/2017","49","Jacob Salazar","100.0","1050"
"10/05/2017","42","Marilyn Maxwell","100.0","1051"
"10/06/2017","27","Logan Hill","100.0","1052"
"10/06/2017","15","Noah Gallagher","100.0","1053"
"10/06/2017","63","Steven Roth","100.0","1054"
"10/06/2017","91","Alice Avila","100.0","1055"
"10/06/2017","90","Christopher Medina","100.0","1056"
"10/06/2017","66","Mark Barry","100.0","1057"
"10/06/2017","90","Christopher Medina","100.0","1058"
"10/06/2017","95","Janice Byrd","100.0","1059"
"10/06/2017","45","Gerald Moran","100.0","1060"
"10/06/2017","2","Joyce Holden","100.0","1061"
"10/06/2017","51","Christian Yang","100.0","1062"
"10/07/2017","82","Denise Sparks","100.0","1063"
"10/07/2017","90","Christopher Medina","100.0","1064"
"10/07/2017","37","Denise Osborn","100.0","1065"
"10/07/2017","81","Nancy Swanson","100.0","1066"
"10/07/2017","95","Janice Byrd","100.0","1067"
"10/07/2017","81","Nancy Swanson","100.0","1068"
"10/07/2017","49","Jacob Salazar","100.0","1069"
"10/07/2017","67","Jennifer Harvey","100.0","1070"
"10/08/2017","47","Steven Mcmillan","100.0","1071"
"10/08/2017","98","Nancy Morgan","100.0","1072"
"10/08/2017","33","Stephen Norton","100.0","1073"
"10/08/2017","21","Carolyn Mullins","100.0","1074"
"10/08/2017","47","Steven Mcmillan","100.0","1075"
"10/08/2017","82","Denise Sparks","100.0","1076"
"10/08/2017","60","Albert Richardson","100.0","1077"
"10/09/2017","52","Dennis Neal","100.0","1078"
"10/09/2017","87","Andrea Henderson","100.0","1079"
"10/09/2017","3","Billy Hampton","100.0","1080"
"10/09/2017","78","Catherine Webb","100.0","1081"
"10/09/2017","69","Gerald Hawkins","100.0","1082"
"10/09/2017","98","Nancy Morgan","100.0","1083"
"10/09/2017","77","Ruth Combs","100.0","1084"
"10/09/2017","48","Rose Walter","100.0","1085"
"10/10/2017","92","Heather Rivera","100.0","1086"
"10/10/2017","89","Andrew Maynard","100.0","1087"
"10/10/2017","71","Scott Strickland","100.0","1088"
"10/10/2017","15","Noah Gallagher","100.0","1089"
"10/10/2017","10","Bryan Bennett","100.0","1090"
"10/10/2017","40","Jeremy Garrett","100.0","1091"
"10/10/2017","78","Catherine Webb","100.0","1092"
"10/10/2017","22","Theresa Atkinson","100.0","1093"
"10/10/2017","48","Rose Walter","100.0","1094"
"10/10/2017","25","Diana Reed","100.0","1095"
"10/10/2017","62","David Manning","100.0","1096"
"10/10/2017","55","John Mcpherson","100.0","1097"
"10/10/2017","44","Jeffrey Horne","100.0","1098"
"10/10/2017","28","Jordan Long","100.0","1099"
"10/10/2017","20","Jesse Mcdonald","100.0","1100"
"10/10/2017","10","Bryan Bennett","100.0","1101"
"10/11/2017","96","Vincent Cantrell","100.0","1102"
"10/11/2017","95","Janice Byrd","100.0","1103"
"10/11/2017","15","Noah Gallagher","100.0","1104"
"10/11/2017","76","Randy Spears","100.0","1105"
"10/11/2017","3","Billy Hampton","100.0","1106"
"10/11/2017","77","Ruth Combs","100.0","1107"
"10/12/2017","65","Alexis Conway","100.0","1108"
"10/12/2017","42","Marilyn Maxwell","100.0","1109"
"10/12/2017","94","Natalie Morgan","100.0","1110"
"10/12/2017","65","Alexis Conway","100.0","1111"
"10/12/2017","48","Rose Walter","100.0","1112"
"10/12/2017","29","Kelly Moyer","100.0","1113"
"10/12/2017","74","Michelle Pratt","100.0","1114"
"10/12/2017","53","Edward Moses","100.0","1115"
"10/12/2017","77","Ruth Combs","100.0","1116"
"10/13/2017","72","Nicholas Valencia","100.0","1117"
"10/13/2017","42","Marilyn Maxwell","100.0","1118"
"10/13/2017","37","Denise Osborn","100.0","1119"
"10/13/2017","27","Logan Hill","100.0","1120"
"10/13/2017","29","Kelly Moyer","100.0","1121"
"10/13/2017","50","Brian Hinton","100.0","1122"
"10/13/2017","27","Logan Hill","100.0","1123"
"10/13/2017","95","Janice Byrd","100.0","1124"
"10/13/2017","80","Matthew Leon","100.0","1125"
"10/13/2017","10","Bryan Bennett","100.0","1126"
"10/13/2017","70","Maria Fitzpatrick","100.0","1127"
"10/14/2017","92","Heather Rivera","100.0","1128"
"10/14/2017","93","Theresa Love","100.0","1129"
"10/14/2017","47","Steven Mcmillan","100.0","1130"
"10/14/2017","4","Christine Vaughan","100.0","1131"
"10/14/2017","96","Vincent Cantrell","100.0","1132"
"10/14/2017","84","Kathleen Burke","100.0","1133"
"10/14/2017","48","Rose Walter","100.0","1134"
"10/14/2017","53","Edward Moses","100.0","1135"
"10/14/2017","74","Michelle Pratt","100.0","1136"
"10/15/2017","4","Christine Vaughan","100.0","1137"
"10/15/2017","81","Nancy Swanson","100.0","1138"
"10/15/2017","73","William Wright","100.0","1139"
"10/15/2017","54","Tiffany Blevins","100.0","1140"
"10/15/2017","67","Jennifer Harvey","100.0","1141"
"10/15/2017","49","Jacob Salazar","100.0","1142"
"10/15/2017","56","Ryan Bernard","100.0","1143"
"10/15/2017","98","Nancy Morgan","100.0","1144"
"10/15/2017","20","Jesse Mcdonald","100.0","1145"
"10/15/2017","78","Catherine Webb","100.0","1146"
"10/15/2017","73","William Wright","100.0","1147"
"10/16/2017","93","Theresa Love","100.0","1148"
"10/16/2017","7","Douglas Trujillo","100.0","1149"
"10/16/2017","6","Justin Payne","100.0","1150"
"10/16/2017","12","Thomas Gutierrez","100.0","1151"
"10/16/2017","70","Maria Fitzpatrick","100.0","1152"
"10/16/2017","18","William Rosario","100.0","1153"
"10/16/2017","63","Steven Roth","100.0","1154"
"10/16/2017","30","Janice Brady","100.0","1155"
"10/16/2017","75","Edward Proctor","100.0","1156"
"10/16/2017","1","Sarah Sosa","100.0","1157"
"10/16/2017","51","Christian Yang","100.0","1158"
"10/16/2017","31","Benjamin Kaufman","100.0","1159"
"10/16/2017","62","David Manning","100.0","1160"
"10/16/2017","27","Logan Hill","100.0","1161"
"10/17/2017","65","Alexis Conway","100.0","1162"
"10/17/2017","58","Martha Jennings","100.0","1163"
"10/17/2017","61","Martha Mcgee","100.0","1164"
"10/17/2017","39","Denise Tyler","100.0","1165"
"10/17/2017","47","Steven Mcmillan","100.0","1166"
"10/17/2017","36","Ronald Strickland","100.0","1167"
"10/17/2017","26","Nathan Horne","100.0","1168"
"10/18/2017","20","Jesse Mcdonald","100.0","1169"
"10/18/2017","0","Rebecca Bates","100.0","1170"
"10/18/2017","86","Wayne Melendez","100.0","1171"
"10/18/2017","81","Nancy Swanson","100.0","1172"
"10/18/2017","94","Natalie Morgan","100.0","1173"
"10/18/2017","7","Douglas Trujillo","100.0","1174"
"10/18/2017","73","William Wright","100.0","1175"
"10/18/2017","95","Janice Byrd","100.0","1176"
"10/18/2017","47","Steven Mcmillan","100.0","1177"
"10/19/2017","64","Douglas Ali","100.0","1178"
"10/19/2017","57","Grace Stephenson","100.0","1179"
"10/19/2017","19","Alexander Ford","100.0","1180"
"10/19/2017","45","Gerald Moran","100.0","1181"
"10/19/2017","12","Thomas Gutierrez","100.0","1182"
"10/19/2017","52","Dennis Neal","100.0","1183"
"10/19/2017","57","Grace Stephenson","100.0","1184"
"10/19/2017","92","Heather Rivera","100.0","1185"
"10/20/2017","32","Sharon Mccann","100.0","1186"
"10/20/2017","65","Alexis Conway","100.0","1187"
"10/20/2017","41","Doris Freeman","100.0","1188"
"10/20/2017","54","Tiffany Blevins","100.0","1189"
"10/20/2017","71","Scott Strickland","100.0","1190"
"10/21/2017","58","Martha Jennings","100.0","1191"
"10/21/2017","66","Mark Barry","100.0","1192"
"10/21/2017","10","Bryan Bennett","100.0","1193"
"10/21/2017","99","Vincent Galvan","100.0","1194"
"10/21/2017","57","Grace Stephenson","100.0","1195"
"10/21/2017","22","Theresa Atkinson","100.0","1196"
"10/21/2017","54","Tiffany Blevins","100.0","1197"
"10/21/2017","49","Jacob Salazar","100.0","1198"
"10/21/2017","72","Nicholas Valencia","100.0","1199"
"10/21/2017","57","Grace Stephenson","100.0","1200"
"10/21/2017","10","Bryan Bennett","100.0","1201"
"10/22/2017","23","Heather Valencia","100.0","1202"
"10/22/2017","0","Rebecca Bates","100.0","1203"
"10/22/2017","31","Benjamin Kaufman","100.0","1204"
"10/22/2017","79","Ethan Francis","100.0","1205"
"10/23/2017","95","Janice Byrd","100.0","1206"
"10/23/2017","9","Rose Brandt","100.0","1207"
"10/23/2017","14","Ethan David","100.0","1208"
"10/23/2017","13","Arthur Hill","100.0","1209"
"10/23/2017","45","Gerald Moran","100.0","1210"
"10/23/2017","42","Marilyn Maxwell","100.0","1211"
"10/23/2017","87","Andrea Henderson","100.0","1212"
"10/23/2017","33","Stephen Norton","100.0","1213"
"10/23/2017","33","Stephen Norton","100.0","1214"
"10/23/2017","64","Douglas Ali","100.0","1215"
"10/23/2017","57","Grace Stephenson","100.0","1216"
"10/23/2017","38","Randy Gardner","100.0","1217"
"10/23/2017","13","Arthur Hill","100.0","1218"
"10/24/2017","59","Rachel Williamson","100.0","1219"
"10/24/2017","61","Martha Mcgee","100.0","1220"
"10/24/2017","32","Sharon Mccann","100.0","1221"
"10/24/2017","88","Kyle Rios","100.0","1222"
"10/24/2017","74","Michelle Pratt","100.0","1223"
"10/24/2017","83","Nancy Conrad","100.0","1224"
"10/24/2017","2","Joyce Holden","100.0","1225"
"10/24/2017","56","Ryan Bernard","100.0","1226"
"10/24/2017","64","Douglas Ali","100.0","1227"
"10/24/2017","9","Rose Brandt","100.0","1228"
"10/25/2017","74","Michelle Pratt","100.0","1229"
"10/25/2017","63","Steven Roth","100.0","1230"
"10/25/2017","93","Theresa Love","100.0","1231"
"10/25/2017","38","Randy Gardner","100.0","1232"
"10/25/2017","51","Christian Yang","100.0","1233"
"10/25/2017","31","Benjamin Kaufman","100.0","1234"
"10/25/2017","32","Sharon Mccann","100.0","1235"
"10/25/2017","82","Denise Sparks","100.0","1236"
"10/25/2017","48","Rose Walter","100.0","1237"
"10/26/2017","37","Denise Osborn","100.0","1238"
"10/26/2017","52","Dennis Neal","100.0","1239"
"10/26/2017","20","Jesse Mcdonald","100.0","1240"
"10/26/2017","84","Kathleen Burke","100.0","1241"
"10/26/2017","50","Brian Hinton","100.0","1242"
"10/26/2017","39","Denise Tyler","100.0","1243"
