"DATE","CUST ID","NAME","AMOUNT","ORDER NUMBER"
"10/01/2017","41","Doris Freeman","1.0","1000"
"10/01/2017","86","Wayne Melendez","1.0","1001"
"10/01/2017","50","Brian Hinton","1.0","1002"
"10/01/2017","65","Alexis Conway","1.0","1003"
"10/01/2017","21","Carolyn Mullins","1.0","1004"
"10/01/2017","43","Diane Moore","1.0","1005"
"10/01/2017","79","Ethan Francis","1.0","1006"
"10/01/2017","88","Kyle Rios","1.0","1007"
"10/01/2017","53","Edward Moses","1.0","1008"
"10/01/2017","40","Jeremy Garrett","1.0","1009"
"10/01/2017","60","Albert Richardson","1.0","1010"
"10/01/2017","81","Nancy Swanson","1.0","1011"
"10/01/2017","88","Kyle Rios","1.0","1012"
"10/01/2017","87","Andrea Henderson","1.0","1013"
"10/01/2017","92","Heather Rivera","1.0","1014"
"10/01/2017","43","Diane Moore","1.0","1015"
"10/01/2017","26","Nathan Horne","1.0","1016"
"10/01/2017","62","David Manning","1.0","1017"
"10/01/2017","57","Grace Stephenson","1.0","1018"
"10/01/2017","86","Wayne Melendez","1.0","1019"
"10/01/2017","88","Kyle Rios","1.0","1020"
"10/01/2017","27","Logan Hill","1.0","1021"
"10/01/2017","51","Christian Yang","1.0","1022"
"10/01/2017","56","Ryan Bernard","1.0","1023"
"10/01/2017","15","Noah Gallagher","1.0","1024"
"10/01/2017","6","Justin Payne","1.0","1025"
"10/01/2017","98","Nancy Morgan","1.0","1026"
"10/01/2017","67","Jennifer Harvey","1.0","1027"
"10/01/2017","38","Randy Gardner","1.0","1028"
"10/01/2017","80","Matthew Leon","1.0","1029"
"10/01/2017","47","Steven Mcmillan","1.0","1030"
"10/01/2017","50","Brian Hinton","1.0","1031"
"10/01/2017","44","Jeffrey Horne","1.0","1032"
"10/01/2017","92","Heather Rivera","1.0","1033"
"10/01/2017","28","Jordan Long","1.0","1034"
"10/01/2017","19","Alexander Ford","1.0","1035"
"10/01/2017","95","Janice Byrd","1.0","1036"
"10/01/2017","84","Kathleen Burke","1.0","1037"
"10/01/2017","26","Nathan Horne","1.0","1038"
"10/01/2017","78","Catherine Webb","1.0","1039"
"10/01/2017","50","Brian Hinton","1.0","1040"
"10/01/2017","77","Ruth Combs","1.0","1041"
"10/01/2017","2","Joyce Holden","1.0","1042"
"10/01/2017","81","Nancy Swanson","1.0","1043"
"10/01/2017","39","Denise Tyler","1.0","1044"
"10/01/2017","61","Martha Mcgee","1.0","1045"
"10/01/2017","97","Amy Stark","1.0","1046"
"10/01/2017","59","Rachel Williamson","1.0","1047"
"10/01/2017","9","Rose Brandt","1.0","1048"
"10/01/2017","45","Gerald Moran","1.0","1049"
"10/01/2017","54","Tiffany Blevins","1.0","1050"
"10/01/2017","71","Scott Strickland","1.0","1051"
"10/01/2017","38","Randy Gardner","1.0","1052"
"10/01/2017","80","Matthew Leon","1.0","1053"
"10/01/2017","60","Albert Richardson","1.0","1054"
"10/01/2017","11","Ethan Stark","1.0","1055"
"10/01/2017","32","Sharon Mccann","1.0","1056"
"10/01/2017","46","Anna Kaufman","1.0","1057"
"10/01/2017","11","Ethan Stark","1.0","1058"
"10/01/2017","29","Kelly Moyer","1.0","1059"
"10/01/2017","60","Albert Richardson","1.0","1060"
"10/01/2017","51","Christian Yang","1.0","1061"
"10/01/2017","65","Alexis Conway","1.0","1062"
"10/01/2017","40","Jeremy Garrett","1.0","1063"
"10/01/2017","72","Nicholas Valencia","1.0","1064"
"10/01/2017","18","William Rosario","1.0","1065"
"10/01/2017","81","Nancy Swanson","1.0","1066"
"10/01/2017","79","Ethan Francis","1.0","1067"
"10/01/2017","52","Dennis Neal","1.0","1068"
"10/01/2017","74","Michelle Pratt","1.0","1069"
"10/01/2017","45","Gerald Moran","1.0","1070"
"10/01/2017","67","Jennifer Harvey","1.0","1071"
"10/01/2017","2","Joyce Holden","1.0","1072"
"10/01/2017","59","Rachel Williamson","1.0","1073"
"10/01/2017","54","Tiffany Blevins","1.0","1074"
"10/01/2017","63","Steven Roth","1.0","1075"
"10/01/2017","17","Sara Harrington","1.0","1076"
"10/01/2017","90","Christopher Medina","1.0","1077"
"10/01/2017","39","Denise Tyler","1.0","1078"
"10/01/2017","56","Ryan Bernard","1.0","1079"
"10/01/2017","4","Christine Vaughan","1.0","1080"
"10/01/2017","42","Marilyn Maxwell","1.0","1081"
"10/01/2017","73","William Wright","1.0","1082"
"10/01/2017","15","Noah Gallagher","1.0","1083"
"10/01/2017","71","Scott Strickland","1.0","1084"
"10/01/2017","96","Vincent Cantrell","1.0","1085"
"10/01/2017","9","Rose Brandt","1.0","1086"
"10/01/2017","55","John Mcpherson","1.0","1087"
"10/01/2017","5","Katherine Zimmerman","1.0","1088"
"10/01/2017","60","Albert Richardson","1.0","1089"
"10/01/2017","60","Albert Richardson","1.0","1090"
"10/01/2017","20","Jesse Mcdonald","1.0","1091"
"10/01/2017","18","William Rosario","1.0","1092"
"10/01/2017","3","Billy Hampton","1.0","1093"
"10/01/2017","70","Maria Fitzpatrick","1.0","1094"
"10/01/2017","42","Marilyn Maxwell","1.0","1095"
"10/01/2017","69","Gerald Hawkins","1.0","1096"
"10/01/2017","12","Thomas Gutierrez","1.0","1097"
"10/01/2017","65","Alexis Conway","1.0","1098"
"10/01/2017","70","Maria Fitzpatrick","1.0","1099"
"10/01/2017","14","Ethan David","1.0","1100"
"10/01/2017","74","Michelle Pratt","1.0","1101"
"10/01/2017","24","Bruce Moon","1.0","1102"
"10/01/2017","29","Kelly Moyer","1.0","1103"
"10/01/2017","81","Nancy Swanson","1.0","1104"
"10/02/2017","81","Nancy Swanson","1.0","1105"
"10/02/2017","70","Maria Fitzpatrick","1.0","1106"
"10/02/2017","76","Randy Spears","1.0","1107"
"10/02/2017","81","Nancy Swanson","1.0","1108"
"10/02/2017","76","Randy Spears","1.0","1109"
"10/02/2017","16","Nicole Hines","1.0","1110"
"10/02/2017","59","Rachel Williamson","1.0","1111"
"10/02/2017","66","Mark Barry","1.0","1112"
"10/02/2017","93","Theresa Love","1.0","1113"
"10/02/2017","95","Janice Byrd","1.0","1114"
"10/02/2017","5","Katherine Zimmerman","1.0","1115"
"10/02/2017","65","Alexis Conway","1.0","1116"
"10/02/2017","25","Diana Reed","1.0","1117"
"10/02/2017","3","Billy Hampton","1.0","1118"
"10/02/2017","84","Kathleen Burke","1.0","1119"
"10/02/2017","89","Andrew Maynard","1.0","1120"
"10/02/2017","23","Heather Valencia","1.0","1121"
"10/02/2017","7","Douglas Trujillo","1.0","1122"
"10/02/2017","6","Justin Payne","1.0","1123"
"10/02/2017","94","Natalie Morgan","1.0","1124"
"10/02/2017","60","Albert Richardson","1.0","1125"
"10/02/2017","61","Martha Mcgee","1.0","1126"
"10/02/2017","49","Jacob Salazar","1.0","1127"
"10/02/2017","9","Rose Brandt","1.0","1128"
"10/02/2017","4","Christine Vaughan","1.0","1129"
"10/02/2017","85","Denise Hayes","1.0","1130"
"10/02/2017","83","Nancy Conrad","1.0","1131"
"10/02/2017","65","Alexis Conway","1.0","1132"
"10/02/2017","35","Brandon Costa","1.0","1133"
"10/02/2017","67","Jennifer Harvey","1.0","1134"
"10/02/2017","3","Billy Hampton","1.0","1135"
"10/02/2017","80","Matthew Leon","1.0","1136"
"10/02/2017","99","Vincent Galvan","1.0","1137"
"10/02/2017","2","Joyce Holden","1.0","1138"
"10/02/2017","91","Alice Avila","1.0","1139"
"10/02/2017","86","Wayne Melendez","1.0","1140"
"10/02/2017","16","Nicole Hines","1.0","1141"
"10/02/2017","34","Alexander Huerta","1.0","1142"
"10/02/2017","36","Ronald Strickland","1.0","1143"
"10/02/2017","93","Theresa Love","1.0","1144"
"10/02/2017","92","Heather Rivera","1.0","1145"
"10/02/2017","71","Scott Strickland","1.0","1146"
"10/02/2017","86","Wayne Melendez","1.0","1147"
"10/02/2017","49","Jacob Salazar","1.0","1148"
"10/02/2017","74","Michelle Pratt","1.0","1149"
"10/02/2017","83","Nancy Conrad","1.0","1150"
"10/02/2017","90","Christopher Medina","1.0","1151"
"10/02/2017","44","Jeffrey Horne","1.0","1152"
"10/02/2017","71","Scott Strickland","1.0","1153"
"10/02/2017","20","Jesse Mcdonald","1.0","1154"
"10/02/2017","87","Andrea Henderson","1.0","1155"
"10/02/2017","82","Denise Sparks","1.0","1156"
"10/02/2017","69","Gerald Hawkins","1.0","1157"
"10/02/2017","79","Ethan Francis","1.0","1158"
"10/02/2017","24","Bruce Moon","1.0","1159"
"10/02/2017","15","Noah Gallagher","1.0","1160"
"10/02/2017","52","Dennis Neal","1.0","1161"
"10/02/2017","38","Randy Gardner","1.0","1162"
"10/02/2017","11","Ethan Stark","1.0","1163"
"10/02/2017","32","Sharon Mccann","1.0","1164"
"10/02/2017","96","Vincent Cantrell","1.0","1165"
"10/02/2017","45","Gerald Moran","1.0","1166"
"10/02/2017","70","Maria Fitzpatrick","1.0","1167"
"10/02/2017","78","Catherine Webb","1.0","1168"
"10/02/2017","78","Catherine Webb","1.0","1169"
"10/02/2017","0","Rebecca Bates","1.0","1170"
"10/02/2017","17","Sara Harrington","1.0","1171"
"10/02/2017","93","Theresa Love","1.0","1172"
"10/02/2017","50","Brian Hinton","1.0","1173"
"10/02/2017","67","Jennifer Harvey","1.0","1174"
"10/02/2017","17","Sara Harrington","1.0","1175"
"10/02/2017","66","Mark Barry","1.0","1176"
"10/02/2017","77","Ruth Combs","1.0","1177"
"10/02/2017","55","John Mcpherson","1.0","1178"
"10/02/2017","80","Matthew Leon","1.0","1179"
"10/02/2017","67","Jennifer Harvey","1.0","1180"
"10/02/2017","29","Kelly Moyer","1.0","1181"
"10/02/2017","24","Bruce Moon","1.0","1182"
"10/02/2017","74","Michelle Pratt","1.0","1183"
"10/02/2017","53","Edward Moses","1.0","1184"
"10/02/2017","54","Tiffany Blevins","1.0","1185"
"10/02/2017","31","Benjamin Kaufman","1.0","1186"
"10/02/2017","0","Rebecca Bates","1.0","1187"
"10/02/2017","98","Nancy Morgan","1.0","1188"
"10/02/2017","3","Billy Hampton","1.0","1189"
"10/02/2017","4","Christine Vaughan","1.0","1190"
"10/02/2017","45","Gerald Moran","1.0","1191"
"10/02/2017","4","Christine Vaughan","1.0","1192"
"10/02/2017","70","Maria Fitzpatrick","1.0","1193"
"10/02/2017","43","Diane Moore","1.0","1194"
"10/02/2017","64","Douglas Ali","1.0","1195"
"10/02/2017","74","Michelle Pratt","1.0","1196"
"10/02/2017","35","Brandon Costa","1.0","1197"
"10/02/2017","82","Denise Sparks","1.0","1198"
"10/02/2017","46","Anna Kaufman","1.0","1199"
"10/02/2017","63","Steven Roth","1.0","1200"
"10/02/2017","42","Marilyn Maxwell","1.0","1201"
"10/02/2017","91","Alice Avila","1.0","1202"
"10/02/2017","73","William Wright","1.0","1203"
"10/02/2017","40","Jeremy Garrett","1.0","1204"
