"BOB","CUST ID","NAME","AMOUNT","ORDER NUMBER","Type"
"10/01/2017","38","Linda Espinoza","90.0","1000","Payment"
"10/01/2017","38","Linda Espinoza","90.0","1000","Invoice"
"10/01/2017","38","Linda Espinoza","90.0","1001","Payment"
"10/01/2017","38","Linda Espinoza","90.0","1001","Invoice"
"10/01/2017","87","Ryan Morrison","90.0","1002","Payment"
"10/01/2017","87","Ryan Morrison","90.0","1002","Invoice"
"10/01/2017","42","Barbara Andersen","90.0","1003","Payment"
"10/01/2017","42","Barbara Andersen","90.0","1003","Invoice"
"10/02/2017","66","Jason Anderson","90.0","1004","Payment"
"10/02/2017","66","Jason Anderson","90.0","1004","Invoice"
"10/02/2017","48","Sandra Mccullough","90.0","1005","Payment"
"10/02/2017","48","Sandra Mccullough","90.0","1005","Invoice"
"10/02/2017","53","Tyler Farrell","90.0","1006","Payment"
"10/02/2017","53","Tyler Farrell","90.0","1006","Invoice"
"10/02/2017","56","Randy Mcdowell","90.0","1007","Payment"
"10/02/2017","56","Randy Mcdowell","90.0","1007","Invoice"
"10/02/2017","65","Gerald Sherman","90.0","1008","Payment"
"10/02/2017","65","Gerald Sherman","90.0","1008","Invoice"
"10/03/2017","26","Brittany Mcintyre","90.0","1009","Payment"
"10/03/2017","26","Brittany Mcintyre","90.0","1009","Invoice"
"10/03/2017","85","Alexis Rich","90.0","1010","Payment"
"10/03/2017","85","Alexis Rich","90.0","1010","Invoice"
"10/03/2017","31","Megan Mclean","90.0","1011","Payment"
"10/03/2017","31","Megan Mclean","90.0","1011","Invoice"
"10/03/2017","23","Laura Kerr","90.0","1012","Payment"
"10/03/2017","23","Laura Kerr","90.0","1012","Invoice"
"10/03/2017","21","Natalie Carson","90.0","1013","Payment"
"10/03/2017","21","Natalie Carson","90.0","1013","Invoice"
"10/03/2017","96","Larry Anthony","90.0","1014","Payment"
"10/03/2017","96","Larry Anthony","90.0","1014","Invoice"
"10/03/2017","71","Keith Ramos","90.0","1015","Payment"
"10/03/2017","71","Keith Ramos","90.0","1015","Invoice"
"10/03/2017","22","Terry Contreras","90.0","1016","Payment"
"10/03/2017","22","Terry Contreras","90.0","1016","Invoice"
"10/03/2017","23","Laura Kerr","90.0","1017","Payment"
"10/03/2017","23","Laura Kerr","90.0","1017","Invoice"
"10/03/2017","30","Theresa Keith","90.0","1018","Payment"
"10/03/2017","30","Theresa Keith","90.0","1018","Invoice"
"10/05/2017","70","Rebecca Fisher","90.0","1019","Payment"
"10/05/2017","70","Rebecca Fisher","90.0","1019","Invoice"
"10/06/2017","5","Douglas Garza","90.0","1020","Payment"
"10/06/2017","5","Douglas Garza","90.0","1020","Invoice"
"10/06/2017","64","Danielle Kidd","90.0","1021","Payment"
"10/06/2017","64","Danielle Kidd","90.0","1021","Invoice"
"10/07/2017","53","Tyler Farrell","90.0","1022","Payment"
"10/07/2017","53","Tyler Farrell","90.0","1022","Invoice"
"10/07/2017","52","Janet Patterson","90.0","1023","Payment"
"10/07/2017","52","Janet Patterson","90.0","1023","Invoice"
"10/07/2017","38","Linda Espinoza","90.0","1024","Payment"
"10/07/2017","38","Linda Espinoza","90.0","1024","Invoice"
"10/07/2017","4","Dennis Davenport","90.0","1025","Payment"
"10/07/2017","4","Dennis Davenport","90.0","1025","Invoice"
"10/08/2017","76","Pamela Le","90.0","1026","Payment"
"10/08/2017","76","Pamela Le","90.0","1026","Invoice"
"10/08/2017","13","Maria Manning","90.0","1027","Payment"
"10/08/2017","13","Maria Manning","90.0","1027","Invoice"
"10/08/2017","13","Maria Manning","90.0","1028","Payment"
"10/08/2017","13","Maria Manning","90.0","1028","Invoice"
"10/08/2017","19","Charles Davidson","90.0","1029","Payment"
"10/08/2017","19","Charles Davidson","90.0","1029","Invoice"
"10/08/2017","59","Kenneth Thornton","90.0","1030","Payment"
"10/08/2017","59","Kenneth Thornton","90.0","1030","Invoice"
"10/08/2017","40","Randy Burns","90.0","1031","Payment"
"10/08/2017","40","Randy Burns","90.0","1031","Invoice"
"10/09/2017","27","Brittany Mathews","90.0","1032","Payment"
"10/09/2017","27","Brittany Mathews","90.0","1032","Invoice"
"10/09/2017","47","Samantha Griffin","90.0","1033","Payment"
"10/09/2017","47","Samantha Griffin","90.0","1033","Invoice"
"10/09/2017","40","Randy Burns","90.0","1034","Payment"
"10/09/2017","40","Randy Burns","90.0","1034","Invoice"
"10/09/2017","99","Virginia Dougherty","90.0","1035","Payment"
"10/09/2017","99","Virginia Dougherty","90.0","1035","Invoice"
"10/10/2017","65","Gerald Sherman","90.0","1036","Payment"
"10/10/2017","65","Gerald Sherman","90.0","1036","Invoice"
"10/10/2017","91","Rebecca Lambert","90.0","1037","Payment"
"10/10/2017","91","Rebecca Lambert","90.0","1037","Invoice"
"10/11/2017","77","Judith Warren","90.0","1038","Payment"
"10/11/2017","77","Judith Warren","90.0","1038","Invoice"
"10/11/2017","44","Samuel Zhang","90.0","1039","Payment"
"10/11/2017","44","Samuel Zhang","90.0","1039","Invoice"
"10/11/2017","43","Harold Myers","90.0","1040","Payment"
"10/11/2017","43","Harold Myers","90.0","1040","Invoice"
"10/11/2017","10","Angela Taylor","90.0","1041","Payment"
"10/11/2017","10","Angela Taylor","90.0","1041","Invoice"
"10/11/2017","25","Deborah Arnold","90.0","1042","Payment"
"10/11/2017","25","Deborah Arnold","90.0","1042","Invoice"
"10/13/2017","70","Rebecca Fisher","90.0","1043","Payment"
"10/13/2017","70","Rebecca Fisher","90.0","1043","Invoice"
"10/13/2017","18","Ethan Shepherd","90.0","1044","Payment"
"10/13/2017","18","Ethan Shepherd","90.0","1044","Invoice"
"10/13/2017","78","Betty Durham","90.0","1045","Payment"
"10/13/2017","78","Betty Durham","90.0","1045","Invoice"
"10/13/2017","97","Patrick Rowe","90.0","1046","Payment"
"10/13/2017","97","Patrick Rowe","90.0","1046","Invoice"
"10/14/2017","68","Christine Whitehead","90.0","1047","Payment"
"10/14/2017","68","Christine Whitehead","90.0","1047","Invoice"
"10/14/2017","77","Judith Warren","90.0","1048","Payment"
"10/14/2017","77","Judith Warren","90.0","1048","Invoice"
"10/14/2017","14","Barbara Hopkins","90.0","1049","Payment"
"10/14/2017","14","Barbara Hopkins","90.0","1049","Invoice"
"10/14/2017","73","Rose Beck","90.0","1050","Payment"
"10/14/2017","73","Rose Beck","90.0","1050","Invoice"
"10/15/2017","42","Barbara Andersen","90.0","1051","Payment"
"10/15/2017","42","Barbara Andersen","90.0","1051","Invoice"
"10/15/2017","5","Douglas Garza","90.0","1052","Payment"
"10/15/2017","5","Douglas Garza","90.0","1052","Invoice"
"10/15/2017","76","Pamela Le","90.0","1053","Payment"
"10/15/2017","76","Pamela Le","90.0","1053","Invoice"
"10/15/2017","73","Rose Beck","90.0","1054","Payment"
"10/15/2017","73","Rose Beck","90.0","1054","Invoice"
"10/16/2017","66","Jason Anderson","90.0","1055","Payment"
"10/16/2017","66","Jason Anderson","90.0","1055","Invoice"
"10/16/2017","50","Scott Spears","90.0","1056","Payment"
"10/16/2017","50","Scott Spears","90.0","1056","Invoice"
"10/16/2017","36","Kayla Ward","90.0","1057","Payment"
"10/16/2017","36","Kayla Ward","90.0","1057","Invoice"
"10/17/2017","7","Abigail Montgomery","90.0","1058","Payment"
"10/17/2017","7","Abigail Montgomery","90.0","1058","Invoice"
"10/17/2017","2","Douglas Buckley","90.0","1059","Payment"
"10/17/2017","2","Douglas Buckley","90.0","1059","Invoice"
"10/18/2017","22","Terry Contreras","90.0","1060","Payment"
"10/18/2017","22","Terry Contreras","90.0","1060","Invoice"
"10/18/2017","35","Emma Pruitt","90.0","1061","Payment"
"10/18/2017","35","Emma Pruitt","90.0","1061","Invoice"
"10/18/2017","22","Terry Contreras","90.0","1062","Payment"
"10/18/2017","22","Terry Contreras","90.0","1062","Invoice"
"10/18/2017","42","Barbara Andersen","90.0","1063","Payment"
"10/18/2017","42","Barbara Andersen","90.0","1063","Invoice"
"10/18/2017","28","Nicholas Zimmerman","90.0","1064","Payment"
"10/18/2017","28","Nicholas Zimmerman","90.0","1064","Invoice"
"10/18/2017","85","Alexis Rich","90.0","1065","Payment"
"10/18/2017","85","Alexis Rich","90.0","1065","Invoice"
"10/19/2017","15","Lori Mclean","90.0","1066","Payment"
"10/19/2017","15","Lori Mclean","90.0","1066","Invoice"
"10/20/2017","56","Randy Mcdowell","90.0","1067","Payment"
"10/20/2017","56","Randy Mcdowell","90.0","1067","Invoice"
"10/20/2017","96","Larry Anthony","90.0","1068","Payment"
"10/20/2017","96","Larry Anthony","90.0","1068","Invoice"
"10/21/2017","8","Jennifer Key","90.0","1069","Payment"
"10/21/2017","8","Jennifer Key","90.0","1069","Invoice"
"10/21/2017","20","Hannah Foster","90.0","1070","Payment"
"10/21/2017","20","Hannah Foster","90.0","1070","Invoice"
"10/22/2017","77","Judith Warren","90.0","1071","Payment"
"10/22/2017","77","Judith Warren","90.0","1071","Invoice"
"10/23/2017","22","Terry Contreras","90.0","1072","Payment"
"10/23/2017","22","Terry Contreras","90.0","1072","Invoice"
"10/23/2017","59","Kenneth Thornton","90.0","1073","Payment"
"10/23/2017","59","Kenneth Thornton","90.0","1073","Invoice"
"10/23/2017","36","Kayla Ward","90.0","1074","Payment"
"10/23/2017","36","Kayla Ward","90.0","1074","Invoice"
"10/24/2017","61","Terry Raymond","90.0","1075","Payment"
"10/24/2017","61","Terry Raymond","90.0","1075","Invoice"
"10/24/2017","14","Barbara Hopkins","90.0","1076","Payment"
"10/24/2017","14","Barbara Hopkins","90.0","1076","Invoice"
"10/24/2017","6","Linda Fleming","90.0","1077","Payment"
"10/24/2017","6","Linda Fleming","90.0","1077","Invoice"
"10/24/2017","68","Christine Whitehead","90.0","1078","Payment"
"10/24/2017","68","Christine Whitehead","90.0","1078","Invoice"
"10/25/2017","45","Melissa Ross","90.0","1079","Payment"
"10/25/2017","45","Melissa Ross","90.0","1079","Invoice"
"10/25/2017","92","Henry Arellano","90.0","1080","Payment"
"10/25/2017","92","Henry Arellano","90.0","1080","Invoice"
"10/25/2017","96","Larry Anthony","90.0","1081","Payment"
"10/25/2017","96","Larry Anthony","90.0","1081","Invoice"
"10/26/2017","15","Lori Mclean","90.0","1082","Payment"
"10/26/2017","15","Lori Mclean","90.0","1082","Invoice"
"10/27/2017","73","Rose Beck","90.0","1083","Payment"
"10/27/2017","73","Rose Beck","90.0","1083","Invoice"
"10/27/2017","51","Deborah Barber","90.0","1084","Payment"
"10/27/2017","51","Deborah Barber","90.0","1084","Invoice"
"10/27/2017","61","Terry Raymond","90.0","1085","Payment"
