"DATE","CUST ID","NAME","AMOUNT","ORDER NUMBER"
"10/01/2017","74","Michelle Pratt","100.0","1000"
"10/01/2017","98","Nancy Morgan","100.0","1001"
"10/01/2017","1","Sarah Sosa","100.0","1002"
"10/01/2017","57","Grace Stephenson","100.0","1003"
"10/01/2017","72","Nicholas Valencia","100.0","1004"
"10/01/2017","43","Diane Moore","100.0","1005"
"10/01/2017","82","Denise Sparks","100.0","1006"
"10/01/2017","85","Denise Hayes","100.0","1007"
"10/01/2017","46","Anna Kaufman","100.0","1008"
"10/01/2017","60","Albert Richardson","100.0","1009"
"10/01/2017","82","Denise Sparks","100.0","1010"
"10/02/2017","65","Alexis Conway","100.0","1011"
"10/02/2017","12","Thomas Gutierrez","100.0","1012"
"10/02/2017","62","David Manning","100.0","1013"
"10/02/2017","42","Marilyn Maxwell","100.0","1014"
"10/02/2017","9","Rose Brandt","100.0","1015"
"10/02/2017","41","Doris Freeman","100.0","1016"
"10/02/2017","5","Katherine Zimmerman","100.0","1017"
"10/02/2017","41","Doris Freeman","100.0","1018"
"10/02/2017","32","Sharon Mccann","100.0","1019"
"10/02/2017","83","Nancy Conrad","100.0","1020"
"10/03/2017","93","Theresa Love","100.0","1021"
"10/03/2017","62","David Manning","100.0","1022"
"10/03/2017","43","Diane Moore","100.0","1023"
"10/03/2017","78","Catherine Webb","100.0","1024"
"10/03/2017","23","Heather Valencia","100.0","1025"
"10/03/2017","36","Ronald Strickland","100.0","1026"
"10/03/2017","97","Amy Stark","100.0","1027"
"10/03/2017","80","Matthew Leon","100.0","1028"
"10/03/2017","79","Ethan Francis","100.0","1029"
"10/04/2017","38","Randy Gardner","100.0","1030"
"10/04/2017","96","Vincent Cantrell","100.0","1031"
"10/04/2017","43","Diane Moore","100.0","1032"
"10/04/2017","1","Sarah Sosa","100.0","1033"
"10/04/2017","38","Randy Gardner","100.0","1034"
"10/04/2017","21","Carolyn Mullins","100.0","1035"
"10/04/2017","12","Thomas Gutierrez","100.0","1036"
"10/04/2017","31","Benjamin Kaufman","100.0","1037"
"10/04/2017","49","Jacob Salazar","100.0","1038"
"10/04/2017","45","Gerald Moran","100.0","1039"
"10/04/2017","46","Anna Kaufman","100.0","1040"
"10/05/2017","32","Sharon Mccann","100.0","1041"
"10/05/2017","59","Rachel Williamson","100.0","1042"
"10/05/2017","90","Christopher Medina","100.0","1043"
