"DATE","CUST ID","NAME","AMOUNT","ORDER NUMBER"
"10/01/2017","88","Kyle Rios","90.0","1000"
"10/01/2017","48","Rose Walter","90.0","1001"
"10/01/2017","26","Nathan Horne","90.0","1002"
"10/02/2017","40","Jeremy Garrett","90.0","1003"
"10/02/2017","57","Grace Stephenson","90.0","1004"
"10/02/2017","85","Denise Hayes","90.0","1005"
"10/02/2017","72","Nicholas Valencia","90.0","1006"
"10/03/2017","56","Ryan Bernard","90.0","1007"
"10/03/2017","1","Sarah Sosa","90.0","1008"
"10/03/2017","73","William Wright","90.0","1009"
"10/03/2017","50","Brian Hinton","90.0","1010"
"10/03/2017","78","Catherine Webb","90.0","1011"
"10/03/2017","38","Randy Gardner","90.0","1012"
"10/05/2017","94","Natalie Morgan","90.0","1013"
"10/05/2017","30","Janice Brady","90.0","1014"
"10/05/2017","22","Theresa Atkinson","90.0","1015"
"10/06/2017","86","Wayne Melendez","90.0","1016"
"10/06/2017","78","Catherine Webb","90.0","1017"
"10/07/2017","73","William Wright","90.0","1018"
"10/07/2017","85","Denise Hayes","90.0","1019"
"10/08/2017","32","Sharon Mccann","90.0","1020"
"10/08/2017","43","Diane Moore","90.0","1021"
"10/08/2017","94","Natalie Morgan","90.0","1022"
"10/10/2017","54","Tiffany Blevins","90.0","1023"
"10/10/2017","47","Steven Mcmillan","90.0","1024"
"10/11/2017","63","Steven Roth","90.0","1025"
"10/11/2017","65","Alexis Conway","90.0","1026"
"10/11/2017","51","Christian Yang","90.0","1027"
"10/11/2017","70","Maria Fitzpatrick","90.0","1028"
"10/11/2017","41","Doris Freeman","90.0","1029"
"10/12/2017","78","Catherine Webb","90.0","1030"
"10/12/2017","66","Mark Barry","90.0","1031"
"10/12/2017","5","Katherine Zimmerman","90.0","1032"
"10/13/2017","6","Justin Payne","90.0","1033"
"10/13/2017","44","Jeffrey Horne","90.0","1034"
"10/13/2017","92","Heather Rivera","90.0","1035"
"10/13/2017","51","Christian Yang","90.0","1036"
"10/13/2017","19","Alexander Ford","90.0","1037"
"10/14/2017","8","Michael Cole","90.0","1038"
"10/14/2017","34","Alexander Huerta","90.0","1039"
"10/14/2017","71","Scott Strickland","90.0","1040"
"10/15/2017","2","Joyce Holden","90.0","1041"
"10/16/2017","64","Douglas Ali","90.0","1042"
"10/17/2017","81","Nancy Swanson","90.0","1043"
"10/17/2017","49","Jacob Salazar","90.0","1044"
"10/17/2017","56","Ryan Bernard","90.0","1045"
"10/17/2017","10","Bryan Bennett","90.0","1046"
"10/17/2017","68","Joe Benton","90.0","1047"
"10/18/2017","45","Gerald Moran","90.0","1048"
"10/18/2017","46","Anna Kaufman","90.0","1049"
"10/18/2017","46","Anna Kaufman","90.0","1050"
"10/18/2017","77","Ruth Combs","90.0","1051"
"10/18/2017","76","Randy Spears","90.0","1052"
"10/19/2017","79","Ethan Francis","90.0","1053"
"10/19/2017","8","Michael Cole","90.0","1054"
"10/20/2017","29","Kelly Moyer","90.0","1055"
"10/20/2017","4","Christine Vaughan","90.0","1056"
"10/20/2017","53","Edward Moses","90.0","1057"
"10/21/2017","76","Randy Spears","90.0","1058"
"10/21/2017","24","Bruce Moon","90.0","1059"
"10/21/2017","23","Heather Valencia","90.0","1060"
"10/21/2017","39","Denise Tyler","90.0","1061"
"10/22/2017","61","Martha Mcgee","90.0","1062"
"10/22/2017","77","Ruth Combs","90.0","1063"
"10/23/2017","41","Doris Freeman","90.0","1064"
"10/23/2017","51","Christian Yang","90.0","1065"
"10/23/2017","80","Matthew Leon","90.0","1066"
"10/24/2017","5","Katherine Zimmerman","90.0","1067"
"10/24/2017","8","Michael Cole","90.0","1068"
"10/25/2017","56","Ryan Bernard","90.0","1069"
"10/25/2017","35","Brandon Costa","90.0","1070"
"10/25/2017","92","Heather Rivera","90.0","1071"
"10/25/2017","15","Noah Gallagher","90.0","1072"
"10/26/2017","53","Edward Moses","90.0","1073"
"10/27/2017","16","Nicole Hines","90.0","1074"
"10/27/2017","78","Catherine Webb","90.0","1075"
"10/27/2017","72","Nicholas Valencia","90.0","1076"
"10/28/2017","98","Nancy Morgan","90.0","1077"
"10/28/2017","11","Ethan Stark","90.0","1078"
"10/28/2017","52","Dennis Neal","90.0","1079"
"10/28/2017","32","Sharon Mccann","90.0","1080"
"10/29/2017","27","Logan Hill","90.0","1081"
"10/29/2017","10","Bryan Bennett","90.0","1082"
"10/29/2017","84","Kathleen Burke","90.0","1083"
"10/29/2017","32","Sharon Mccann","90.0","1084"
"10/30/2017","45","Gerald Moran","90.0","1085"
"10/30/2017","65","Alexis Conway","90.0","1086"
"10/31/2017","12","Thomas Gutierrez","90.0","1087"
"11/01/2017","79","Ethan Francis","90.0","1088"
"11/01/2017","96","Vincent Cantrell","90.0","1089"
"11/01/2017","1","Sarah Sosa","90.0","1090"
"11/02/2017","80","Matthew Leon","90.0","1091"
"11/02/2017","29","Kelly Moyer","90.0","1092"
"11/02/2017","15","Noah Gallagher","90.0","1093"
"11/02/2017","89","Andrew Maynard","90.0","1094"
"11/03/2017","90","Christopher Medina","90.0","1095"
"11/04/2017","97","Amy Stark","90.0","1096"
"11/04/2017","64","Douglas Ali","90.0","1097"
"11/04/2017","10","Bryan Bennett","90.0","1098"
"11/04/2017","59","Rachel Williamson","90.0","1099"
"11/04/2017","97","Amy Stark","90.0","1100"
"11/05/2017","59","Rachel Williamson","90.0","1101"
"11/05/2017","38","Randy Gardner","90.0","1102"
"11/05/2017","84","Kathleen Burke","90.0","1103"
"11/05/2017","24","Bruce Moon","90.0","1104"
"11/05/2017","46","Anna Kaufman","90.0","1105"
"11/05/2017","51","Christian Yang","90.0","1106"
"11/05/2017","0","Rebecca Bates","90.0","1107"
"11/06/2017","24","Bruce Moon","90.0","1108"
"11/06/2017","53","Edward Moses","90.0","1109"
"11/06/2017","3","Billy Hampton","90.0","1110"
"11/06/2017","99","Vincent Galvan","90.0","1111"
"11/06/2017","58","Martha Jennings","90.0","1112"
"11/07/2017","99","Vincent Galvan","90.0","1113"
"11/07/2017","78","Catherine Webb","90.0","1114"
"11/07/2017","47","Steven Mcmillan","90.0","1115"
"11/07/2017","2","Joyce Holden","90.0","1116"
"11/08/2017","12","Thomas Gutierrez","90.0","1117"
"11/08/2017","73","William Wright","90.0","1118"
"11/09/2017","25","Diana Reed","90.0","1119"
"11/09/2017","76","Randy Spears","90.0","1120"
"11/09/2017","67","Jennifer Harvey","90.0","1121"
"11/09/2017","39","Denise Tyler","90.0","1122"
"11/10/2017","16","Nicole Hines","90.0","1123"
"11/10/2017","90","Christopher Medina","90.0","1124"
"11/11/2017","85","Denise Hayes","90.0","1125"
"11/11/2017","47","Steven Mcmillan","90.0","1126"
"11/12/2017","25","Diana Reed","90.0","1127"
"11/12/2017","12","Thomas Gutierrez","90.0","1128"
"11/12/2017","64","Douglas Ali","90.0","1129"
"11/13/2017","58","Martha Jennings","90.0","1130"
"11/14/2017","66","Mark Barry","90.0","1131"
"11/14/2017","87","Andrea Henderson","90.0","1132"
"11/14/2017","8","Michael Cole","90.0","1133"
"11/14/2017","77","Ruth Combs","90.0","1134"
"11/14/2017","37","Denise Osborn","90.0","1135"
"11/15/2017","14","Ethan David","90.0","1136"
"11/15/2017","41","Doris Freeman","90.0","1137"
"11/16/2017","67","Jennifer Harvey","90.0","1138"
"11/16/2017","4","Christine Vaughan","90.0","1139"
"11/16/2017","93","Theresa Love","90.0","1140"
"11/17/2017","7","Douglas Trujillo","90.0","1141"
"11/17/2017","43","Diane Moore","90.0","1142"
"11/17/2017","98","Nancy Morgan","90.0","1143"
"11/18/2017","36","Ronald Strickland","90.0","1144"
"11/19/2017","44","Jeffrey Horne","90.0","1145"
"11/19/2017","64","Douglas Ali","90.0","1146"
"11/19/2017","96","Vincent Cantrell","90.0","1147"
"11/19/2017","36","Ronald Strickland","90.0","1148"
"11/19/2017","46","Anna Kaufman","90.0","1149"
"11/19/2017","20","Jesse Mcdonald","90.0","1150"
"11/20/2017","38","Randy Gardner","90.0","1151"
"11/20/2017","96","Vincent Cantrell","90.0","1152"
"11/20/2017","59","Rachel Williamson","90.0","1153"
"11/20/2017","74","Michelle Pratt","90.0","1154"
"11/21/2017","47","Steven Mcmillan","90.0","1155"
"11/21/2017","89","Andrew Maynard","90.0","1156"
"11/21/2017","42","Marilyn Maxwell","90.0","1157"
"11/21/2017","91","Alice Avila","90.0","1158"
"11/21/2017","30","Janice Brady","90.0","1159"
"11/21/2017","37","Denise Osborn","90.0","1160"
"11/22/2017","36","Ronald Strickland","90.0","1161"
"11/22/2017","13","Arthur Hill","90.0","1162"
"11/22/2017","59","Rachel Williamson","90.0","1163"
"11/22/2017","39","Denise Tyler","90.0","1164"
"11/22/2017","57","Grace Stephenson","90.0","1165"
